cinzel	sinzel
círculo	roda
circuncidar	bota fanadu
circuncisão	fanadu
ciscar	garbata
ciúme	siumi
ciumento	kumboseru
clã	djorson
clamar	tchoma
clamor	pididu
claridade	klaresa
claro	klaru
clava	manduku di fidida
clitóris	tchiron
clube	klubu
coabitar	mora na ermondadi
coador	kuadera
coagular	seka
cobertura	tidjadu
cobra	kobra
cobrança	kobransa
cobrar	kobra
cobre	kobri
cobrir	kubri
cocar	tchepen di penas
coçar	kosa
cócegas	tchikini
coceira	kosera
cocho	djemberen di kabalu
coco	kukuneti
coelho	kuidju
cogumelo	guarda-tchuba di sapu
coisa	kusa
cola	kola
colar	kola
colar	konta
colar	kola
colcha	koltcha
colchão	koltchon
colega	mandjua
coletar	kebra
coletar	kudji fruta
colheita	kebur
colheita	tempu di kebur
colher	kudji
colher	kudjer
coleta	kebra
colidir	madja
colina	kau altu
colmeia	kumbu di bagera
colmo	fiu di padja
colocação	puzison
colocar	finkanda
colocar de lado	nkosta
colocar em	pui na
colorido	tindjidu
coluna	kuluna
com	ku
com velocidade e ruído	tchurak
comandar	komanda
comando	kumandu
combinação	kumbinason
combate	luta
combinar	kumbina
começar	kumsa
começo	kumsada
comer	kume
comerciante	bindidur
comerciar	nogosia
comércio	kumersiu
cometer um erro	yara
comida	kumida
comigo	ku mi
como	suma
como	kuma
companheiro	kumpañer
companheirismo	kumpañerasku
comparação	komparason
comparar	kompara
completar	kompleta
completo	kompletu
compor	kumpu
composto	kumpudu
compra	kumpra
comprar	kumpra
compras	kompra
compreender	ntindi
compreensão	ntindimentu
comprido	kumpridu
comprimento	kumprimentu
comprometer	kumprimiti
compromisso	kompromis
computador	komputador
conceber	preña
concha	kombe
concluído	kabadu
concordar	konkorda
condenação	kondenason
condenar	kondena
condolências	manteña di tchur
conduzir	konduzi
conforme	konformu
confuso	kunfundidu
congelado	djeladu
congelar	djela
conhecer	kunsi
conhecido	kunsidu
conhecimento	kunsimentu
conjunto	konjuntu
conosco	ku nos
conquistar	konkista
consciência	konsiensia
conseguir	konsigi
conselho real	konsidju rial
consertar	kumpu
consigo	ku el
construir	kumpu
consumir	konsumi
consumo	konsumu
conta	konta
conta	konta
contaminação	kontaminason
contaminado	kontaminadu
contaminar	kontamina
contar	konta
conter	kibi
conter	tudji
contido	mansu
contigo	ku bo
continuar	kontinua
contínuo	permanenti
conto	storia
contra	kontra
contradição	kontradison
contradizer	purfia
contrair	tursi kurpu
contratar	kontrata
contrato	kontratu
contundir	molostra
contusão	dismintidura
conveniente	ben
conversa	kombersa
conversar	kombersa
convidado	kumbidadu
convidar	kumbida
convite	kumbiti
convosco	ku bos
copiar	kopia
copo	kopu
copular	moka
cópula	markadesa
copular	moka
coqueiro	kukeru
cor	kor
coração	korson
coragem	korajen
corajoso	koradjus
corcunda	kurkunda
corda	korda
cordão umbilical	biku
cordeiro	karnel
coroa	koroa
coroar	pui koroa
corpo	kurpu
corredor	kuridur
córrego	riusiñu
correia	koreia
suspensório	ispensol
correio	koreiu
corrente	korenti
correr	kuri
correto	kuretu
corrida	kurida
corrupto	kuruptu
cortado	kortadu
cortar	korta
cortar	laña
corte	korti
coruja	kikia
corvo	korbu
costa	roda di mar
costas	kosta
costela	os di pontada
costura	kustura
costurar	kusi
cotovelada	kutubelada
cotovelo	kutubel
couro	kuru
couve	kubi
cova	koba
covarde	kobardu
coveiro	supultadur
coxa	perna
coxear	mankusa
coxo	manku
cozido	kusidu
cozinha	kusiña
cozinhar	kusiña
cozinheiro	kusiñeru
crânio	kaku
crescer	kirsi
crescimento	kirsimentu
criança	mininu
criar	kria
crime	krimi
criminoso	kriminus
crise	krizi
crista	krista
crocodilo	djakare
crosta	krosta
cru	kru
crucifixo	santa-krus
cruz	krus
cruzar	kruza
cruzar	kamba
cu	koba di bunda
cueca	trus
cueiros	fralda
cuidado	kuidadi
cuidar	kuida
cuidar	kria baka
cuidar	yama
culpa	kulpa
culpado	kulpadu
culpar	kulpa
cultivar	labra
cultivo	labur
cume	ponta
cumprimentar	fala manteña
cumprimento	manteña
cunhada	kuñada
cunhado	kuñadu
cupim	bagabaga
cura	kura
curado	kuradu
curandeiro	djambakus
curar	kura
curativo	kuratibu
curral	koral
curso	kursu
curtidor	stikadur di kuru
curto	mutchu
curva	kurba
curvar	kurba
curvar	uñi
curvatura	kurvatura
cuspe	kuspiñu
cuspir	kuspi
custar	kusta
custo	kustu
cutelo	tarsadu
dança	badju
dançar	badja
dançar	ronka matchundadi
dançar	badja djambadon
dançarina	badjadur
dançarino	badjadur
dar	da
dar à luz	padi
dar a volta	bolta
dar licença	kolsensa
dar um passeio	pasia
data	data
de	di
debaixo	bas
debulhar	duguña
década	dekada
decidir	disidi
décimo	desimu
décimo nono	desimu nonu
décimo oitavo	desimu oitavu
décimo primeiro	desimu purmeru
décimo quarto	desimu kuartu
décimo quinto	desimu kintu
décimo segundo	desimu sugundu
décimo sétimo	desimu setimu
décimo sexto	desimu sestu
decisão	disizon
declive	riada
decorar	fadja
dedão	dedu garandi
dedo	dedu
defecar	pupu
defender	difindi
defesa	difeza
deficiente	manku
defumado	fumadu
defunto	difuntu
deitado	ditadu
deitar	ditanda
deitar	dita
deixar	disa
deixar	ritira
dela	di sel
delas	di selis
dele	di sel
deles	di selis
delicado	delikadu
demais	dimas
demitir	dimiti
demônio	dimoniu
dente	dinti
dentro	dentru
depenar	pena
depois	dispus
depois de amanhã	dipus di amaña
depositar	dipozita
depósito	dipozitu
depósito	bemba
depósito	tanki di lixu
depressão	fadiga
derramamento	deramamentu
derramar	darma
derramar	darma
derrame	pirdi sangi pa dentru
derreter	ribi
derrubar	durba
desagradável	ka bon
desalojar	muda
desamarrar	dismara
desânimo	dizanimu
desaparecer	disaparsi
desatado	dismaradu
desatar	dismara
descansar	diskansa
descansar a bochecha na mão	pembi kara
descanso	diskansu
descarregar	diskarga
descarregar	rianta
descascar	diskaska
descendente	djorson
descer	disi
descida	riada
descoberto	diskubridu
descobrir	diskubri
desconhecido	diskunsidu
desculpa	diskulpa
desde	des
